NAME,B08303_001E,B08303_013E,state,county
"Clark County, Washington",205231,6251,53,011
"Columbia County, Washington",1783,37,53,013
"Cowlitz County, Washington",42075,1608,53,015
"Douglas County, Washington",18639,438,53,017
"Ferry County, Washington",2156,51,53,019
"Franklin County, Washington",38257,572,53,021
"Garfield County, Washington",831,0,53,023
"Grant County, Washington",37668,356,53,025
"Grays Harbor County, Washington",25919,1320,53,027
"Island County, Washington",34886,2125,53,029
"King County, Washington",1057198,24370,53,033
"Kitsap County, Washington",118140,8096,53,035
"Kittitas County, Washington",21111,980,53,037
"Lewis County, Washington",30051,1589,53,041
"Durham County, North Carolina",145955,2189,37,063
"Franklin County, North Carolina",28766,863,37,069
"Graham County, North Carolina",3209,103,37,075
"Guilford County, North Carolina",234884,4105,37,081
"Haywood County, North Carolina",26065,517,37,087
"Hyde County, North Carolina",1714,37,37,095
"Johnston County, North Carolina",89301,1968,37,101
"Lenoir County, North Carolina",22696,677,37,107
"Macon County, North Carolina",13375,302,37,113
"Mecklenburg County, North Carolina",503525,10029,37,119
"Stanly County, North Carolina",26913,589,37,167
"Swain County, North Carolina",5429,114,37,173
"Union County, North Carolina",103142,2241,37,179
"Warren County, North Carolina",7088,184,37,185
"Wayne County, North Carolina",53175,993,37,191
"Yadkin County, North Carolina",15638,373,37,197
"Bergen County, New Jersey",431484,21129,34,003
"Cape May County, New Jersey",39471,1234,34,009
"Gloucester County, New Jersey",138332,4917,34,015
"Mercer County, New Jersey",159331,10228,34,021
"Morris County, New Jersey",231435,12506,34,027
"Salem County, New Jersey",26739,602,34,033
"Union County, New Jersey",257959,12319,34,039
"Allen County, Indiana",171078,3031,18,003
"Blackford County, Indiana",4571,123,18,009
"Carroll County, Indiana",9258,210,18,015
"Clay County, Indiana",11566,448,18,021
"Daviess County, Indiana",14092,714,18,027
"DeKalb County, Indiana",20591,154,18,033
"Elkhart County, Indiana",92631,893,18,039
"Kosciusko County, Indiana",36773,315,18,085
"LaPorte County, Indiana",45301,1133,18,091
"Marion County, Indiana",433946,7242,18,097
"Miami County, Indiana",14843,498,18,103
"Morgan County, Indiana",31455,574,18,109
"Ohio County, Indiana",2768,24,18,115
"Parke County, Indiana",5688,215,18,121
"Porter County, Indiana",73977,2738,18,127
"Putnam County, Indiana",15048,392,18,133
"Rush County, Indiana",6989,22,18,139
"Scott County, Indiana",9467,179,18,143
"Starke County, Indiana",8875,271,18,149
"Switzerland County, Indiana",4440,225,18,155
"Union County, Indiana",3468,63,18,161
"Vigo County, Indiana",46729,780,18,167
"Warrick County, Indiana",29614,603,18,173
"Wells County, Indiana",13459,394,18,179
"Barnstable County, Massachusetts",94068,4475,25,001
"Dukes County, Massachusetts",6975,104,25,007
"Hampden County, Massachusetts",200285,3509,25,013
"Nantucket County, Massachusetts",5908,49,25,019
"Darke County, Ohio",23552,396,39,037
"Erie County, Ohio",33960,577,39,043
"Franklin County, Ohio",618591,7949,39,049
